window_start,window_end,sentiment,count
2025-06-10T17:00:00.000-05:00,2025-06-10T18:00:00.000-05:00,positive,1
2025-06-10T03:00:00.000-05:00,2025-06-10T04:00:00.000-05:00,neutral,1
2025-06-10T00:00:00.000-05:00,2025-06-10T01:00:00.000-05:00,positive,6
2025-06-09T22:00:00.000-05:00,2025-06-09T23:00:00.000-05:00,positive,12
2025-06-10T01:00:00.000-05:00,2025-06-10T02:00:00.000-05:00,neutral,2
2025-06-11T09:00:00.000-05:00,2025-06-11T10:00:00.000-05:00,positive,1
2025-06-12T02:00:00.000-05:00,2025-06-12T03:00:00.000-05:00,positive,1
2025-06-09T21:00:00.000-05:00,2025-06-09T22:00:00.000-05:00,neutral,15
2025-06-10T17:00:00.000-05:00,2025-06-10T18:00:00.000-05:00,negative,1
2025-06-09T23:00:00.000-05:00,2025-06-10T00:00:00.000-05:00,positive,10
2025-06-10T20:00:00.000-05:00,2025-06-10T21:00:00.000-05:00,negative,1
2025-06-10T11:00:00.000-05:00,2025-06-10T12:00:00.000-05:00,neutral,1
2025-06-11T08:00:00.000-05:00,2025-06-11T09:00:00.000-05:00,neutral,2
2025-06-11T01:00:00.000-05:00,2025-06-11T02:00:00.000-05:00,neutral,2
2025-06-11T03:00:00.000-05:00,2025-06-11T04:00:00.000-05:00,neutral,1
2025-06-11T17:00:00.000-05:00,2025-06-11T18:00:00.000-05:00,positive,1
2025-06-10T14:00:00.000-05:00,2025-06-10T15:00:00.000-05:00,neutral,3
2025-06-11T05:00:00.000-05:00,2025-06-11T06:00:00.000-05:00,positive,1
2025-06-10T13:00:00.000-05:00,2025-06-10T14:00:00.000-05:00,neutral,3
2025-06-10T15:00:00.000-05:00,2025-06-10T16:00:00.000-05:00,neutral,1
2025-06-10T15:00:00.000-05:00,2025-06-10T16:00:00.000-05:00,positive,1
2025-06-10T06:00:00.000-05:00,2025-06-10T07:00:00.000-05:00,neutral,1
2025-06-11T03:00:00.000-05:00,2025-06-11T04:00:00.000-05:00,positive,1
2025-06-10T03:00:00.000-05:00,2025-06-10T04:00:00.000-05:00,positive,3
2025-06-10T09:00:00.000-05:00,2025-06-10T10:00:00.000-05:00,neutral,2
2025-06-09T23:00:00.000-05:00,2025-06-10T00:00:00.000-05:00,negative,4
2025-06-10T01:00:00.000-05:00,2025-06-10T02:00:00.000-05:00,positive,10
2025-06-10T15:00:00.000-05:00,2025-06-10T16:00:00.000-05:00,negative,3
2025-06-10T13:00:00.000-05:00,2025-06-10T14:00:00.000-05:00,negative,1
2025-06-10T20:00:00.000-05:00,2025-06-10T21:00:00.000-05:00,positive,1
2025-06-10T05:00:00.000-05:00,2025-06-10T06:00:00.000-05:00,positive,1
2025-06-10T04:00:00.000-05:00,2025-06-10T05:00:00.000-05:00,neutral,3
2025-06-10T01:00:00.000-05:00,2025-06-10T02:00:00.000-05:00,negative,1
2025-06-10T14:00:00.000-05:00,2025-06-10T15:00:00.000-05:00,positive,3
2025-06-10T08:00:00.000-05:00,2025-06-10T09:00:00.000-05:00,negative,3
2025-06-09T23:00:00.000-05:00,2025-06-10T00:00:00.000-05:00,neutral,1
2025-06-10T02:00:00.000-05:00,2025-06-10T03:00:00.000-05:00,negative,2
2025-06-10T10:00:00.000-05:00,2025-06-10T11:00:00.000-05:00,positive,1
2025-06-09T21:00:00.000-05:00,2025-06-09T22:00:00.000-05:00,positive,26
2025-06-10T22:00:00.000-05:00,2025-06-10T23:00:00.000-05:00,positive,2
2025-06-09T21:00:00.000-05:00,2025-06-09T22:00:00.000-05:00,negative,8
2025-06-10T08:00:00.000-05:00,2025-06-10T09:00:00.000-05:00,positive,5
2025-06-10T12:00:00.000-05:00,2025-06-10T13:00:00.000-05:00,positive,1
2025-06-10T07:00:00.000-05:00,2025-06-10T08:00:00.000-05:00,positive,2
2025-06-10T00:00:00.000-05:00,2025-06-10T01:00:00.000-05:00,negative,2
2025-06-10T02:00:00.000-05:00,2025-06-10T03:00:00.000-05:00,positive,5
2025-06-10T05:00:00.000-05:00,2025-06-10T06:00:00.000-05:00,negative,2
2025-06-09T20:00:00.000-05:00,2025-06-09T21:00:00.000-05:00,negative,11
2025-06-09T22:00:00.000-05:00,2025-06-09T23:00:00.000-05:00,negative,3
2025-06-10T04:00:00.000-05:00,2025-06-10T05:00:00.000-05:00,negative,1
2025-06-09T20:00:00.000-05:00,2025-06-09T21:00:00.000-05:00,neutral,19
2025-06-11T16:00:00.000-05:00,2025-06-11T17:00:00.000-05:00,neutral,1
2025-06-10T12:00:00.000-05:00,2025-06-10T13:00:00.000-05:00,neutral,2
2025-06-09T22:00:00.000-05:00,2025-06-09T23:00:00.000-05:00,neutral,8
2025-06-11T16:00:00.000-05:00,2025-06-11T17:00:00.000-05:00,positive,1
2025-06-10T18:00:00.000-05:00,2025-06-10T19:00:00.000-05:00,neutral,1
2025-06-10T02:00:00.000-05:00,2025-06-10T03:00:00.000-05:00,neutral,2
2025-06-11T07:00:00.000-05:00,2025-06-11T08:00:00.000-05:00,neutral,1
2025-06-09T20:00:00.000-05:00,2025-06-09T21:00:00.000-05:00,positive,32
2025-06-10T04:00:00.000-05:00,2025-06-10T05:00:00.000-05:00,positive,4
2025-06-10T09:00:00.000-05:00,2025-06-10T10:00:00.000-05:00,positive,1
2025-06-10T08:00:00.000-05:00,2025-06-10T09:00:00.000-05:00,neutral,1
