window_start,window_end,negative,neutral,positive
2025-06-09T20:00:00.000-05:00,2025-06-09T21:00:00.000-05:00,11,19,32
2025-06-09T21:00:00.000-05:00,2025-06-09T22:00:00.000-05:00,8,15,26
2025-06-09T22:00:00.000-05:00,2025-06-09T23:00:00.000-05:00,3,8,12
2025-06-09T23:00:00.000-05:00,2025-06-10T00:00:00.000-05:00,4,1,10
2025-06-10T00:00:00.000-05:00,2025-06-10T01:00:00.000-05:00,2,,6
2025-06-10T01:00:00.000-05:00,2025-06-10T02:00:00.000-05:00,1,2,10
2025-06-10T02:00:00.000-05:00,2025-06-10T03:00:00.000-05:00,2,2,5
2025-06-10T03:00:00.000-05:00,2025-06-10T04:00:00.000-05:00,,1,3
2025-06-10T04:00:00.000-05:00,2025-06-10T05:00:00.000-05:00,1,3,4
2025-06-10T05:00:00.000-05:00,2025-06-10T06:00:00.000-05:00,2,,1
2025-06-10T06:00:00.000-05:00,2025-06-10T07:00:00.000-05:00,,1,
2025-06-10T07:00:00.000-05:00,2025-06-10T08:00:00.000-05:00,,,2
2025-06-10T08:00:00.000-05:00,2025-06-10T09:00:00.000-05:00,3,1,5
2025-06-10T09:00:00.000-05:00,2025-06-10T10:00:00.000-05:00,,2,1
2025-06-10T10:00:00.000-05:00,2025-06-10T11:00:00.000-05:00,,,1
2025-06-10T11:00:00.000-05:00,2025-06-10T12:00:00.000-05:00,,1,
2025-06-10T12:00:00.000-05:00,2025-06-10T13:00:00.000-05:00,,2,1
2025-06-10T13:00:00.000-05:00,2025-06-10T14:00:00.000-05:00,1,3,
2025-06-10T14:00:00.000-05:00,2025-06-10T15:00:00.000-05:00,,3,3
2025-06-10T15:00:00.000-05:00,2025-06-10T16:00:00.000-05:00,3,1,1
2025-06-10T17:00:00.000-05:00,2025-06-10T18:00:00.000-05:00,1,,1
2025-06-10T18:00:00.000-05:00,2025-06-10T19:00:00.000-05:00,,1,
2025-06-10T20:00:00.000-05:00,2025-06-10T21:00:00.000-05:00,1,,1
2025-06-10T22:00:00.000-05:00,2025-06-10T23:00:00.000-05:00,,,2
2025-06-11T01:00:00.000-05:00,2025-06-11T02:00:00.000-05:00,,2,
2025-06-11T03:00:00.000-05:00,2025-06-11T04:00:00.000-05:00,,1,1
2025-06-11T05:00:00.000-05:00,2025-06-11T06:00:00.000-05:00,,,1
2025-06-11T07:00:00.000-05:00,2025-06-11T08:00:00.000-05:00,,1,
2025-06-11T08:00:00.000-05:00,2025-06-11T09:00:00.000-05:00,,2,
2025-06-11T09:00:00.000-05:00,2025-06-11T10:00:00.000-05:00,,,1
2025-06-11T16:00:00.000-05:00,2025-06-11T17:00:00.000-05:00,,1,1
2025-06-11T17:00:00.000-05:00,2025-06-11T18:00:00.000-05:00,,,1
2025-06-12T02:00:00.000-05:00,2025-06-12T03:00:00.000-05:00,,,1
