window_start,window_end,count
2025-06-09T20:00:00.000-05:00,2025-06-09T20:10:00.000-05:00,7
2025-06-09T20:10:00.000-05:00,2025-06-09T20:20:00.000-05:00,18
2025-06-09T20:20:00.000-05:00,2025-06-09T20:30:00.000-05:00,15
2025-06-09T20:30:00.000-05:00,2025-06-09T20:40:00.000-05:00,12
2025-06-09T20:40:00.000-05:00,2025-06-09T20:50:00.000-05:00,5
2025-06-09T20:50:00.000-05:00,2025-06-09T21:00:00.000-05:00,5
2025-06-09T21:00:00.000-05:00,2025-06-09T21:10:00.000-05:00,13
2025-06-09T21:10:00.000-05:00,2025-06-09T21:20:00.000-05:00,3
2025-06-09T21:20:00.000-05:00,2025-06-09T21:30:00.000-05:00,6
2025-06-09T21:30:00.000-05:00,2025-06-09T21:40:00.000-05:00,11
2025-06-09T21:40:00.000-05:00,2025-06-09T21:50:00.000-05:00,6
2025-06-09T21:50:00.000-05:00,2025-06-09T22:00:00.000-05:00,10
2025-06-09T22:00:00.000-05:00,2025-06-09T22:10:00.000-05:00,8
2025-06-09T22:10:00.000-05:00,2025-06-09T22:20:00.000-05:00,5
2025-06-09T22:20:00.000-05:00,2025-06-09T22:30:00.000-05:00,1
2025-06-09T22:30:00.000-05:00,2025-06-09T22:40:00.000-05:00,5
2025-06-09T22:40:00.000-05:00,2025-06-09T22:50:00.000-05:00,4
2025-06-09T23:00:00.000-05:00,2025-06-09T23:10:00.000-05:00,3
2025-06-09T23:10:00.000-05:00,2025-06-09T23:20:00.000-05:00,2
2025-06-09T23:20:00.000-05:00,2025-06-09T23:30:00.000-05:00,2
2025-06-09T23:30:00.000-05:00,2025-06-09T23:40:00.000-05:00,5
2025-06-09T23:40:00.000-05:00,2025-06-09T23:50:00.000-05:00,1
2025-06-09T23:50:00.000-05:00,2025-06-10T00:00:00.000-05:00,2
2025-06-10T00:00:00.000-05:00,2025-06-10T00:10:00.000-05:00,3
2025-06-10T00:10:00.000-05:00,2025-06-10T00:20:00.000-05:00,1
